date;SO2;NO2;NO;NOX;O3;CO;PM2.5;PM10;Amb.Wspeed;Amb.WDirection;Amb.Temp;Amb.RelHum;Amb.Pressure;death_count;Male;Female;10-64;65+;<10
2013/05/25;28.5492916666667;0.294013128112276;0.354232684472606;0.647041421457755;27.69375;2.37141666666667;57.0249583333333;104.168625;0.885;121.049166666667;14.93875;41.97625;856.795833333333;5;1;4;5;0;0
2013/05/26;30.36875;0.24892485287461;0.299909461294698;0.547814622000975;30.8743333333333;1.37779166666667;46.1764166666667;85.6263333333333;1.31875;198.05125;14.6654166666667;40.4341666666667;854.117916666667;3;2;1;2;1;0
2013/05/27;33.1923333333333;0.203836577636945;0.245586238116791;0.448587822544193;37.7750416666667;1.24375;46.7694166666667;105.509041666667;2.25041666666667;203.419166666667;15.4804166666667;33.7941666666667;851.4775;6;2;4;3;3;0
2013/05/28;49.3354166666667;0.15874830239928;0.191263014938883;0.349361023087411;28.343125;1.62983333333333;51.3764583333333;132.786125;1.85666666666667;182.677083333333;15.7383333333333;34.24625;851.072083333333;7;5;2;5;2;0
2013/05/29;30.440875;0.113660027161616;0.136939791760976;0.250134223630628;27.2346666666667;2.14308333333333;46.2632083333333;109.161041666667;1.8925;200.752083333333;14.5866666666667;43.1770833333333;852.027916666667;5;0;5;4;1;0
2013/05/30;21.7618374022434;0.0685717519239499;0.0826165685830684;0.15090742417385;27.1231458333333;1.09254166666667;36.8537971308687;93.9709104825404;2.1725;186.133659300134;15.9494469249891;42.2891666666667;852.396875;4;2;2;2;1;1
2013/05/31;18.5729166666667;0.0234834766862845;0.0282933454051606;0.051680624717072;24.918125;2.43116666666667;49.222875;99.6409583333333;1.71708333333333;175.128333333333;16.1366666666667;36.3616666666667;853.605416666667;2;2;0;1;1;0
2013/06/01;3.9125;0;0;0;23.6;0.695833333333333;26.460375;53.5387916666667;2.11458333333333;175.201666666667;12.21875;38.0866666666667;699.695416666667;4;1;3;2;1;1
2013/06/02;33.3855;0;0;0;38.9444166666667;1.24295833333333;23.2007083333333;58.6;3.05041666666667;165.920416666667;17.03875;40.2433333333333;852.61375;5;3;2;1;2;2
2013/06/03;15.482625;0;0;0;30.6945;1.44170833333333;43.2069583333333;103.864625;1.74875;169.937083333333;15.3670833333333;33.53;853.009583333333;2;1;1;0;1;1
2013/06/04;22.49925;0;0;0;26.8389583333333;1.86670833333333;51.37775;129.729875;1.77458333333333;185.4275;14.7754166666667;31.835;853.504583333333;5;0;5;2;1;2
2013/06/05;26.699375;0;0;0;26.463875;2.01879166666667;55.6542083333333;120.700666666667;1.36333333333333;167.649583333333;14.4716666666667;31.9825;856.479166666667;2;1;1;2;0;0
2013/06/06;26.7846666666667;0;0;0;26.9840833333333;1.30620833333333;39.9277916666667;90.00625;1.51458333333333;226.555416666667;13.485;41.6866666666667;859.60875;5;3;2;2;2;1
2013/06/07;24.9618333333333;0;0;0;29.9424166666667;1.48258333333333;62.819375;105.665333333333;1.08666666666667;175.75875;12.8408333333333;75.68125;857.487916666667;7;2;5;4;3;0
2013/06/08;61.1299166666667;0;0;0;29.9090833333333;1.23129166666667;52.6111666666667;119.78825;2.26416666666667;219.635416666667;14.7483333333333;54.1354166666667;852.68;5;2;3;3;2;0
2013/06/09;15.2909583333333;0;0;0;27.7417083333333;0.512541666666667;17.2562083333333;45.8493333333333;2.85125;177.957916666667;10.8266666666667;41.7708333333333;853.264583333333;10;4;6;7;3;0
2013/06/10;11.3422916666667;0;0;0;30.37775;0.4715;17.347875;41.5131666666667;2.60666666666667;105.299166666667;8.38833333333333;53.20625;861.167083333333;4;4;0;3;1;0
2013/06/11;64.9243333333333;0;0;0;22.8298333333333;3.21533333333333;85.3936666666667;129.865916666667;0.87125;165.7875;9.22125;57.00875;860.335;5;4;1;1;3;1
2013/06/12;52.20275;0;0;0;21.9076666666667;2.7465;73.4069583333333;145.526375;1.1075;163.834583333333;9.69166666666667;45.92375;855.949166666667;8;5;3;4;3;1
2013/06/13;25.8320416666667;0;0;0;19.9791666666667;1.267375;43.8103333333333;91.279875;1.68625;149.847083333333;11.8695833333333;38.33;852.816666666667;3;2;1;2;1;0
2013/06/14;30.277125;0;0;0;25.0410416666667;2.01245833333333;60.961875;139.1785;1.67708333333333;150.44;12.8145833333333;31.075;852.982916666667;3;1;2;2;1;0
2013/06/15;10.2109583333333;0;0;0;22.102125;0.611125;24.266625;61.3535416666667;1.81166666666667;159.09625;11.8441666666667;23.1825;855.44;5;3;2;2;3;0
2013/06/16;11.7744166666667;0;0;0;34.4764166666667;0.818791666666667;32.334625;53.0201666666667;1.61333333333333;160.758333333333;10.5408333333333;59.325;860.1975;5;1;4;2;3;0
2013/06/17;24.624375;0;0;0;33.3132083333333;1.26383333333333;28.507625;52.1230416666667;1.64291666666667;91.7508333333333;10.3516666666667;49.9491666666667;861.29;1;1;0;1;0;0
2013/06/18;30.791;0;0;0;23.0180833333333;1.89858333333333;51.3853333333333;77.001375;1.20166666666667;177.274166666667;7.82791666666667;60.85125;859.181666666667;2;1;1;1;1;0
2013/06/19;15.0527916666667;0;0;0;6.54791666666667;0.973625;30.9444583333333;50.257625;0.647916666666667;166.325416666667;4.06666666666667;39.8675;482.185;8;4;4;6;1;1
2013/06/20;0;0;0;0;0;0;0;0;0;180;0;0;0;6;5;1;4;2;0
2013/06/21;0;0;0;0;0;0;0;0;0;180;0;0;0;3;3;0;1;2;0
2013/06/22;0;0;0;0;0;0;0;0;0;180;0;0;0;10;4;6;7;1;2
2013/06/23;0;0;0;0;0;0;0;0;0;180;0;0;0;10;6;4;6;3;1
2013/06/24;0;0;0;0;0;0;0;0;0;180;0;0;0;3;1;2;1;2;0
2013/06/25;0;0;0;0;0;0;0;0;0;180;0;0;0;5;2;3;3;2;0
2013/06/26;7.711125;0;0;0;16.6444166666667;0.563208333333333;28.1139166666667;70.4951666666667;1.21875;208.629583333333;10.4866666666667;18.5708333333333;514.49875;1;0;1;0;1;0
2013/06/27;14.7422916666667;0;0;0;13.8673333333333;1.15141666666667;41.3028333333333;102.375;1.89541666666667;182.107916666667;14.55375;35.3816666666667;852.39;5;3;2;3;0;2
2013/06/28;11.1804166666667;0;0;0;10.1445416666667;1.14366666666667;37.7535833333333;68.766;1.94125;141.135416666667;11.3429166666667;44.9758333333333;854.566666666667;4;4;0;4;0;0
2013/06/29;16.4507083333333;0;0;0;11.6673333333333;1.06675;38.0249166666667;71.8687083333333;2.00583333333333;191.2;12.9320833333333;67.0575;854.909166666667;6;1;5;2;3;1
2013/06/30;22.3888333333333;0;0;0;12.3909583333333;1.376375;41.318;81.725625;1.59;162.820416666667;14.53625;50.9825;855.582916666667;3;2;1;1;2;0
